year,day,cabbage,bamboo,pork
4,2,-0.22,2.22,-4.63
4,3,-1.23,-0.38,0.3
4,4,3.6,3.23,11.38
4,5,-0.44,-1.82,10.21
4,6,-1.66,0.91,-27.25
4,7,0.56,-2,15.37
4,8,-0.19,0.88,-9.28
4,9,-0.03,3.06,-0.28
4,10,-0.07,-1.36,-4.57
4,11,3.33,3.57,20.51
4,12,0.09,0.72,12.3
4,13,-4.58,-7.22,-32.59
4,14,1.55,-0.38,9.35
4,15,1.43,3.99,-3.4
4,16,1.38,0.13,7.69
4,17,0.64,0.59,-17.05
4,18,0.21,-0.5,15.84
4,19,0.37,-2.96,22.3
4,20,-2.57,4.14,-29.68
4,21,0.6,-4.21,12.19
4,22,-0.76,-0.57,-14.06
4,23,1.74,2.72,-4.83
4,24,-1.25,0.16,2.35
4,25,3.14,1.36,10.08
4,26,-0.55,3.34,21.19
4,27,-1.69,-8.85,-32.18
4,28,-0.27,0.43,6.96
4,29,-0.43,0.29,-0.31
4,30,-0.97,-1.53,-12.52
5,1,2.96,3.42,14.76
5,2,-1,-1.35,1.83
5,3,-0.01,-1.72,-15.59
5,4,-1.25,-1.41,3.87
5,5,0.22,2.02,5.71
5,6,1.34,-1.84,13.2
5,7,-0.32,-1.11,-10.1
5,8,-0.57,-0.26,-1.43
5,9,1.85,-0.23,0.27
5,10,2.33,0.57,15.07
5,11,-5.48,0.1,-15.36
5,12,0.52,-0.89,0.49
5,13,-0.16,0.71,-5.58
5,14,-0.65,0.68,-0.84
5,15,1.04,-0.99,-4.66
5,16,1.65,1.18,17.16
5,17,1.4,-0.9,7.02
5,18,-5.41,-0.39,-13.86
5,19,1.98,0.59,6.92
5,20,0.82,-0.26,-8.41
5,21,-0.63,-0.45,1.36
5,22,-0.33,0.23,-9.62
5,23,2.4,0.22,11.65
5,24,0.07,-0.31,12.75
5,25,-2.39,-0.54,-17.62
5,26,1.22,0.47,6.04
5,27,-2.38,-0.48,-10.7
5,28,-0.47,0.2,-5.13
5,29,-0.2,1,2.26
5,30,1.22,-0.37,8.77
5,31,1.15,-0.66,10.74
